term,estimate,pvalue
log_load_lag_1,0.8915418173385172,0.0
is_weekend,-0.13889396815674274,0.0
day_of_week_6,-0.07338848242266831,0.0
day_of_week_5,-0.0655054857305393,0.0
day_of_week_3,-0.1317931335984586,0.0
day_of_week_4,-0.13680616657380612,0.0
day_of_week_1,-0.1100877352874393,0.0
day_of_week_2,-0.12667969011712743,0.0
is_holiday,-0.09041509717682712,6.549810101371342e-195
is_post_holiday,0.07159192564009184,5.776840930845876e-120
is_holiday_eve,-0.026352152588465565,2.791392338031023e-19
log_load_lag_7,0.08026403259926965,2.9678295407987743e-17
const,0.4351943423654248,3.95584140910783e-10
month_12,-0.009815001864138473,0.0001271570598582692
quarter_4,-0.014962332241111875,0.00029670314459608765
previous_year_rolling_30,9.102453761390244e-07,0.0012793762874444442
annual_sin_1,-0.010099225171970264,0.013380051323622438
month_8,-0.005805660812984569,0.044221651058653944
quarter_3,-0.011455826906367836,0.05426517999591736
annual_sin_2,-0.0038212653865854784,0.0626223402295138
previous_year_rolling_7,-5.092858643914204e-07,0.06831551631830873
month_6,-0.007042318900316047,0.06896162345381521
annual_sin_3,-0.0022879130534914443,0.10489583344682918
annual_cos_2,0.0033041074330146187,0.1112540716877779
month_7,-0.0055328056623568135,0.14881350424232329
quarter_2,-0.007314286193490227,0.19316761573755548
month_5,-0.0035290327073297816,0.20186357991898407
month_11,-0.003111277149178711,0.22244222026653104
month_4,0.003257065414158131,0.3352517305281292
annual_cos_3,0.001075489235717383,0.44732176855804384
is_month_end,-0.001830700741353012,0.4553760849168469
is_month_start,-0.001498792798724949,0.5449095940914098
month_10,-0.0020360532277968637,0.613152298860014
previous_year_load,-4.6849814137043505e-08,0.7555177982112167
annual_cos_1,-0.0007399474327112628,0.8562800847034792
month_2,-0.0004911059429129077,0.9037204951811003
month_3,-0.0005976406552305704,0.9239137580189747
month_9,-0.00011736043102819289,0.9729485634447886
