model,lag,ljung_box_statistic,pvalue
Best ARIMA,7,1432.4520583946369,3.66904641111227e-305
Best ARIMA,14,2922.6908313214167,0.0
Best ARIMA,21,4417.191269844794,0.0
Best ARIMA,28,5833.1817863943415,0.0
Best ARIMAX,7,56.85714564864712,6.381520418885263e-10
Best ARIMAX,14,59.909369222195465,1.216916314660786e-07
Best ARIMAX,21,64.4499223670813,2.6482096615971046e-06
Best ARIMAX,28,66.71859002570278,5.2782878563061586e-05
Best SARIMA,7,19.341225908906253,0.007183006149356781
Best SARIMA,14,30.683375646665368,0.006137529361849343
Best SARIMA,21,42.45154201381841,0.00369063767384983
Best SARIMA,28,45.2539439527292,0.020790107741868843
Best GARMA,7,845.5708404265647,2.7096820207237754e-178
Best GARMA,14,1278.3518568398679,2.454148437543218e-264
Best GARMA,21,1602.31581083156,0.0
Best GARMA,28,1704.3656684513958,0.0
Best GARMAX,7,110.95733452648898,5.811825043327091e-21
Best GARMAX,14,157.4217153682963,2.339596742191675e-26
Best GARMAX,21,182.17134396689502,1.1211592769805532e-27
Best GARMAX,28,194.03221349854746,9.179795836938486e-27
Best SARIMAX,7,62.31754328651377,5.1925957666716984e-11
Best SARIMAX,14,66.36983710716252,8.702835799173171e-09
Best SARIMAX,21,69.90858279473319,3.6345856561129895e-07
Best SARIMAX,28,71.58278905596622,1.1150471647010694e-05
